book_title,story_title,latitude,longitude,location,city,state,country,continent,century,decade,initial_date,final_date,unbuilt,architect,pg_gh,pg_img_gh,count_img_gh,fp_gh,pg_fp_gh,count_gh,pg_ha,pg_img_ha,count_img_ha,fp_ha,pg_fp_ha,count_ha,pg_mm,pg_img_mm,count_img_mm,fp_mm,pg_fp_mm,count_mm,pg_wh,pg_img_wh,count_img_wh,fp_wh,pg_fp_wh,count_wh
A World History of Architecture,Governor's Palace,20.3591352,-89.77087382,"Uxmal, Yucatán, Mexico",Uxmal,Yucatán,Mexico,North America,10,,900,,N,,,,,,,,,,,,,,,,,,,,289-291,290,1,N,,2
A World History of Architecture,Nunnery,20.3615713,-89.77048974,"Uxmal, Yucatán, Mexico",Uxmal,Yucatán,Mexico,North America,10,,900,,N,,,,,,,,,,,,,,,,,,,,289-291,290,2,N,,3
A World History of Architecture,Pyramid,17.22272602,-89.62354499,"Tikal, Guatemala",Tikal,,Guatemala,North America,7,,650,,N,,,,,,,,,,,,,,,,,,,,288,288,1,N,,1
"A History of Architecture: Settings and Rituals, A World History of Architecture",Tikal,17.22081485,-89.61701649,"Tikal, Guatemala",Tikal,,Guatemala,North America,-7,,-600,900,N,,,,,,,,436,,1,N,,1,,,,,,,287-288,287288,2,Y,287,3
A Global History of Architecture,Hacienda Tabi,20.2725739,-89.5121959,Mexico,,,Mexico,North America,18,,,,,,570,570,1,N,,1,,,,,,,,,,,,,,,,,,
Modern Movements in Architecture,Second Jacobs House,43.05879046,-89.44167655,"Madison, Wisconsin, USA",Madison,Wisconsin,United States,North America,20,1940,1948,,,Frank Lloyd Wright,,,,,,,,,,,,,133,,,,,1,,,,,,
Modern Movements in Architecture,Unitarian Church,43.07573055,-89.43475245,"Shorewood Hills, Wisconsin, USA",Shorewood Hills,Wisconsin,United States,North America,20,1940,1949,,,Frank Lloyd Wright,,,,,,,,,,,,,131,,,,,1,,,,,,
A History of Architecture: Settings and Rituals,Stele E,15.26861911,-89.04055818,"Quiringuá, Gatemala",Quiringuá,,Guatemala,North America,8,,,,,,,,,,,,435,,1,N,,1,,,,,,,,,,,,
A History of Architecture: Settings and Rituals,Chichén Itza,20.68285195,-88.56871964,"Yucatán, Mexico",Yucatán,,Mexico,,12,,,,,,,,,,,,437,,1,N,,1,,,,,,,,,,,,
Modern Movements in Architecture,Farnsworth House,41.63524408,-88.53556578,"Fox River, Illinois, USA",Fox River,Illinois,United States,North America,20,1940,1945,1950,,Ludwig Mies Van Der Rohe,,,,,,,,,,,,,103-104,103-104,1,N,,2,"522,563",522,1,N,,3
A Global History of Architecture,Old Shawneetown Bank,37.69692138,-88.1352885,"Old Shawneetown, Illinois, USA",Old Shawneetown,Illinois,United States,North America,19,1830,1836,,,,635-636,635-636,1,N,,1,,,,,,,,,,,,,,,,,,
A World History of Architecture,Winslow House,41.88871625,-87.82868732,"River Forest, Illinois",River Forest,Illinois,United States,North America,19,,1893,,N,Frank Lloyd Wright,,,,,,,,,,,,,,,,,,,"481-482,514,520",481,2,Y,481,5
A World History of Architecture,Wright Home and Studio,41.8940513,-87.79966873,"Oak Park, Illinois",Oak Park,Illinois,United States,North America,19,,1889,,N,Frank Lloyd Wright,,,,,,,,,,,,,,,,,,,480,,,N,,1
